text,intent
привет,greeting
здравствуй,greeting
хай,greeting
хелло,greeting
здарова,greeting
салют,greeting
доброе утро,greeting
добрый день,greeting
добрый вечер,greeting
hello,greeting
hi,greeting
хей,greeting
приветствую,greeting
рад видеть тебя,greeting
здравствуйте,greeting
приветик,greeting
доброго времени суток,greeting
ку,greeting
добро пожаловать,greeting
ну привет,greeting
о привет,greeting
хай хай,greeting
йо,greeting
здравия желаю,greeting
привет бот,greeting
хай боб,greeting
добрый день бот,greeting
приветики,greeting
ку ку,greeting
хеллоу,greeting
хола,greeting
хаюшки,greeting
привет привет,greeting
ой привет,greeting
здравствуй бот,greeting
рад тебя видеть,greeting
приветствую тебя,greeting
добрейшего утречка,greeting
доброго вечера,greeting
доброй ночи,greeting
хай там,greeting
салютики,greeting
привет как ты,greeting
здравствуй как дела,greeting
ну здорово,greeting
алоха,greeting
хелло бот,greeting
приветствую вас,greeting
доброго дня,greeting
доброго утра,greeting
доброй ночи бот,greeting
хей бот,greeting
здорово бот,greeting
ку бот,greeting
салют бот,greeting
начинаем,greeting
вот и я,greeting
это снова я,greeting
я снова здесь,greeting
снова привет,greeting
опять привет,greeting
снова я,greeting
опять я,greeting
я вернулся,greeting
вернулся,greeting
я тут,greeting
эй,greeting
эй бот,greeting
окей бот,greeting
ок привет,greeting
хай снова,greeting
привет снова,greeting
хеллоу снова,greeting
добрый,greeting
пока,goodbye
до свидания,goodbye
прощай,goodbye
bye,goodbye
goodbye,goodbye
чао,goodbye
увидимся,goodbye
до встречи,goodbye
покеда,goodbye
всего доброго,goodbye
давай пока,goodbye
ладно пока,goodbye
бывай,goodbye
прощаемся,goodbye
всего хорошего,goodbye
счастливо,goodbye
до скорого,goodbye
пока пока,goodbye
чао чао,goodbye
выхожу,goodbye
ухожу,goodbye
завершить,goodbye
выход,goodbye
прощаюсь,goodbye
всё на сегодня,goodbye
до завтра,goodbye
ладно давай,goodbye
ну ладно пока,goodbye
see you,goodbye
bye bye,goodbye
ciao,goodbye
adios,goodbye
увидимся позже,goodbye
до следующего раза,goodbye
всё спасибо пока,goodbye
закругляюсь,goodbye
заканчиваем,goodbye
на сегодня всё,goodbye
отключаюсь,goodbye
выключаюсь,goodbye
ладно хватит,goodbye
ухожу пока,goodbye
бывай здоров,goodbye
всего тебе доброго,goodbye
до новых встреч,goodbye
пока бот,goodbye
окей пока,goodbye
ок пока,goodbye
всё удачи,goodbye
давай до свидания,goodbye
ну всё пока,goodbye
хватит на сегодня,goodbye
заканчиваю,goodbye
конец разговора,goodbye
завершаю,goodbye
завершаем разговор,goodbye
расстаёмся,goodbye
ну бывай,goodbye
бывай пока,goodbye
всё буду,goodbye
ну я пошёл,goodbye
я пошёл,goodbye
мне пора,goodbye
пора уходить,goodbye
ухожу уже,goodbye
всё я ушёл,goodbye
до связи,goodbye
на связи,goodbye
до связи бот,goodbye
пока что всё,goodbye
это всё,goodbye
погода,weather
какая погода,weather
